instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,time_group
1553,2011-03-10,Spring,2011,Mar,1,No,Thu,Yes,Light Rain/Snow,0.34,0.3182,0.0,0.2537,0,2,2,Off Hours
1554,2011-03-10,Spring,2011,Mar,2,No,Thu,Yes,Light Rain/Snow,0.34,0.3182,0.0,0.2537,0,1,1,Off Hours
1555,2011-03-10,Spring,2011,Mar,5,No,Thu,Yes,Light Rain/Snow,0.36,0.3485,0.0,0.194,1,2,3,Off Hours
1556,2011-03-10,Spring,2011,Mar,6,No,Thu,Yes,Light Rain/Snow,0.36,0.3333,0.0,0.3284,0,12,12,Morning Peak
1557,2011-03-10,Spring,2011,Mar,7,No,Thu,Yes,Light Rain/Snow,0.38,0.3939,0.0,0.2239,1,36,37,Morning Peak
1558,2011-03-10,Spring,2011,Mar,8,No,Thu,Yes,Light Rain/Snow,0.38,0.3939,0.0,0.2836,1,43,44,Morning Peak
1559,2011-03-10,Spring,2011,Mar,9,No,Thu,Yes,Light Rain/Snow,0.4,0.4091,0.0,0.2239,1,23,24,Morning Peak
1560,2011-03-10,Spring,2011,Mar,10,No,Thu,Yes,Light Rain/Snow,0.4,0.4091,0.0,0.1642,0,17,17,Afternoon
1561,2011-03-10,Spring,2011,Mar,11,No,Thu,Yes,Light Rain/Snow,0.4,0.4091,0.0,0.2537,6,5,11,Afternoon
1562,2011-03-10,Spring,2011,Mar,12,No,Thu,Yes,Light Rain/Snow,0.42,0.4242,0.0,0.2239,4,30,34,Afternoon
1563,2011-03-10,Spring,2011,Mar,13,No,Thu,Yes,Light Rain/Snow,0.42,0.4242,0.0,0.2239,1,11,12,Afternoon
1564,2011-03-10,Spring,2011,Mar,14,No,Thu,Yes,Light Rain/Snow,0.44,0.4394,0.0,0.2985,0,12,12,Afternoon
1565,2011-03-10,Spring,2011,Mar,15,No,Thu,Yes,Light Rain/Snow,0.44,0.4394,0.0,0.2239,3,11,14,Afternoon
1566,2011-03-10,Spring,2011,Mar,16,No,Thu,Yes,Light Rain/Snow,0.42,0.4242,0.0,0.2537,1,20,21,Evening Peak
1567,2011-03-10,Spring,2011,Mar,17,No,Thu,Yes,Mist/Cloudy,0.44,0.4394,0.0,0.3881,2,109,111,Evening Peak
1568,2011-03-10,Spring,2011,Mar,18,No,Thu,Yes,Light Rain/Snow,0.44,0.4394,0.0,0.3582,2,80,82,Evening Peak
1569,2011-03-10,Spring,2011,Mar,19,No,Thu,Yes,Light Rain/Snow,0.44,0.4394,0.0,0.5821,5,51,56,Evening Peak
1570,2011-03-10,Spring,2011,Mar,20,No,Thu,Yes,Light Rain/Snow,0.36,0.3333,0.0,0.3284,9,29,38,Off Hours
1571,2011-03-10,Spring,2011,Mar,21,No,Thu,Yes,Light Rain/Snow,0.36,0.3485,0.0,0.2239,1,27,28,Off Hours
1572,2011-03-10,Spring,2011,Mar,22,No,Thu,Yes,Mist/Cloudy,0.34,0.3333,0.0,0.1343,4,30,34,Off Hours
1573,2011-03-10,Spring,2011,Mar,23,No,Thu,Yes,Light Rain/Snow,0.34,0.3485,0.0,0.0896,1,26,27,Off Hours
1574,2011-03-11,Spring,2011,Mar,0,No,Fri,Yes,Mist/Cloudy,0.34,0.3485,1.0,0.0896,0,6,6,Off Hours
1575,2011-03-11,Spring,2011,Mar,1,No,Fri,Yes,Light Rain/Snow,0.34,0.3485,1.0,0.1045,0,8,8,Off Hours
1576,2011-03-11,Spring,2011,Mar,2,No,Fri,Yes,Light Rain/Snow,0.34,0.3485,1.0,0.1045,2,3,5,Off Hours
1577,2011-03-11,Spring,2011,Mar,3,No,Fri,Yes,Mist/Cloudy,0.32,0.3333,0.93,0.0896,0,2,2,Off Hours
1578,2011-03-11,Spring,2011,Mar,5,No,Fri,Yes,Clear,0.3,0.2879,0.81,0.2239,1,6,7,Off Hours
1579,2011-03-11,Spring,2011,Mar,6,No,Fri,Yes,Clear,0.26,0.2424,0.81,0.2836,1,31,32,Morning Peak
1580,2011-03-11,Spring,2011,Mar,7,No,Fri,Yes,Clear,0.26,0.2576,0.7,0.194,10,104,114,Morning Peak
1581,2011-03-11,Spring,2011,Mar,8,No,Fri,Yes,Clear,0.28,0.2727,0.7,0.2537,15,244,259,Morning Peak
1582,2011-03-11,Spring,2011,Mar,9,No,Fri,Yes,Mist/Cloudy,0.3,0.2879,0.61,0.2836,13,143,156,Morning Peak
1583,2011-03-11,Spring,2011,Mar,10,No,Fri,Yes,Mist/Cloudy,0.32,0.303,0.57,0.2985,18,60,78,Afternoon
1584,2011-03-11,Spring,2011,Mar,11,No,Fri,Yes,Mist/Cloudy,0.32,0.303,0.57,0.2985,14,67,81,Afternoon
1585,2011-03-11,Spring,2011,Mar,12,No,Fri,Yes,Mist/Cloudy,0.34,0.3182,0.53,0.2537,15,96,111,Afternoon
1586,2011-03-11,Spring,2011,Mar,13,No,Fri,Yes,Clear,0.36,0.3333,0.53,0.2537,15,92,107,Afternoon
1587,2011-03-11,Spring,2011,Mar,14,No,Fri,Yes,Mist/Cloudy,0.36,0.3333,0.5,0.3582,25,64,89,Afternoon
1588,2011-03-11,Spring,2011,Mar,15,No,Fri,Yes,Mist/Cloudy,0.34,0.3182,0.53,0.2537,21,64,85,Afternoon
1589,2011-03-11,Spring,2011,Mar,16,No,Fri,Yes,Mist/Cloudy,0.34,0.303,0.49,0.2985,18,95,113,Evening Peak
1590,2011-03-11,Spring,2011,Mar,17,No,Fri,Yes,Clear,0.34,0.3182,0.49,0.2239,23,200,223,Evening Peak
1591,2011-03-11,Spring,2011,Mar,18,No,Fri,Yes,Clear,0.32,0.303,0.49,0.3284,19,134,153,Evening Peak
1592,2011-03-11,Spring,2011,Mar,19,No,Fri,Yes,Clear,0.3,0.2727,0.56,0.3284,7,111,118,Evening Peak
1593,2011-03-11,Spring,2011,Mar,20,No,Fri,Yes,Clear,0.3,0.303,0.56,0.1642,6,70,76,Off Hours
1594,2011-03-11,Spring,2011,Mar,21,No,Fri,Yes,Mist/Cloudy,0.3,0.2879,0.52,0.2537,10,43,53,Off Hours
1595,2011-03-11,Spring,2011,Mar,22,No,Fri,Yes,Clear,0.3,0.303,0.52,0.1642,11,53,64,Off Hours
1596,2011-03-11,Spring,2011,Mar,23,No,Fri,Yes,Clear,0.3,0.2879,0.52,0.2537,3,34,37,Off Hours
1597,2011-03-12,Spring,2011,Mar,0,No,Sat,No,Clear,0.26,0.2727,0.6,0.1343,4,30,34,Off Hours
1598,2011-03-12,Spring,2011,Mar,1,No,Sat,No,Clear,0.24,0.2273,0.65,0.194,3,15,18,Off Hours
1599,2011-03-12,Spring,2011,Mar,2,No,Sat,No,Clear,0.24,0.2273,0.65,0.194,0,14,14,Off Hours
1600,2011-03-12,Spring,2011,Mar,3,No,Sat,No,Clear,0.24,0.2273,0.65,0.2537,1,6,7,Off Hours
1601,2011-03-12,Spring,2011,Mar,4,No,Sat,No,Clear,0.24,0.2273,0.65,0.2537,0,1,1,Off Hours
1602,2011-03-12,Spring,2011,Mar,5,No,Sat,No,Clear,0.22,0.2273,0.69,0.194,0,2,2,Off Hours
1603,2011-03-12,Spring,2011,Mar,6,No,Sat,No,Clear,0.22,0.2121,0.75,0.2537,2,2,4,Morning Peak
1604,2011-03-12,Spring,2011,Mar,7,No,Sat,No,Clear,0.24,0.2273,0.7,0.194,4,19,23,Morning Peak
1605,2011-03-12,Spring,2011,Mar,8,No,Sat,No,Clear,0.26,0.2576,0.65,0.1642,9,44,53,Morning Peak
1606,2011-03-12,Spring,2011,Mar,9,No,Sat,No,Clear,0.28,0.2879,0.65,0.1045,25,76,101,Morning Peak
1607,2011-03-12,Spring,2011,Mar,10,No,Sat,No,Clear,0.32,0.303,0.66,0.2239,21,78,99,Afternoon
1608,2011-03-12,Spring,2011,Mar,11,No,Sat,No,Clear,0.34,0.303,0.49,0.3284,36,83,119,Afternoon
1609,2011-03-12,Spring,2011,Mar,12,No,Sat,No,Clear,0.34,0.3182,0.53,0.2836,51,107,158,Afternoon
1610,2011-03-12,Spring,2011,Mar,13,No,Sat,No,Clear,0.36,0.3333,0.51,0.3582,62,95,157,Afternoon
1611,2011-03-12,Spring,2011,Mar,14,No,Sat,No,Clear,0.4,0.4091,0.5,0.4478,70,96,166,Afternoon
1612,2011-03-12,Spring,2011,Mar,15,No,Sat,No,Clear,0.42,0.4242,0.44,0.4925,81,101,182,Afternoon
1613,2011-03-12,Spring,2011,Mar,16,No,Sat,No,Clear,0.46,0.4545,0.41,0.4478,100,144,244,Evening Peak
1614,2011-03-12,Spring,2011,Mar,17,No,Sat,No,Clear,0.46,0.4545,0.44,0.3284,99,114,213,Evening Peak
1615,2011-03-12,Spring,2011,Mar,18,No,Sat,No,Clear,0.42,0.4242,0.54,0.1642,54,91,145,Evening Peak
1616,2011-03-12,Spring,2011,Mar,19,No,Sat,No,Clear,0.42,0.4242,0.54,0.0896,26,86,112,Evening Peak
1617,2011-03-12,Spring,2011,Mar,20,No,Sat,No,Clear,0.4,0.4091,0.58,0.1045,22,64,86,Off Hours
1618,2011-03-12,Spring,2011,Mar,21,No,Sat,No,Clear,0.38,0.3939,0.62,0.0,36,46,82,Off Hours
1619,2011-03-12,Spring,2011,Mar,22,No,Sat,No,Clear,0.36,0.3788,0.71,0.0,7,56,63,Off Hours
1620,2011-03-12,Spring,2011,Mar,23,No,Sat,No,Clear,0.38,0.3939,0.66,0.0896,11,38,49,Off Hours
1621,2011-03-13,Spring,2011,Mar,0,No,Sun,No,Clear,0.38,0.3939,0.62,0.1045,3,35,38,Off Hours
1622,2011-03-13,Spring,2011,Mar,1,No,Sun,No,Clear,0.36,0.3485,0.66,0.1343,10,23,33,Off Hours
1623,2011-03-13,Spring,2011,Mar,3,No,Sun,No,Clear,0.34,0.3333,0.76,0.1343,6,17,23,Off Hours
1624,2011-03-13,Spring,2011,Mar,4,No,Sun,No,Clear,0.34,0.3333,0.66,0.1642,4,9,13,Off Hours
1625,2011-03-13,Spring,2011,Mar,5,No,Sun,No,Clear,0.36,0.3485,0.62,0.1343,0,3,3,Off Hours
1626,2011-03-13,Spring,2011,Mar,6,No,Sun,No,Clear,0.34,0.3636,0.66,0.0,0,2,2,Morning Peak
1627,2011-03-13,Spring,2011,Mar,7,No,Sun,No,Clear,0.36,0.3485,0.62,0.194,2,8,10,Morning Peak
1628,2011-03-13,Spring,2011,Mar,8,No,Sun,No,Clear,0.4,0.4091,0.5,0.2985,11,23,34,Morning Peak
1629,2011-03-13,Spring,2011,Mar,9,No,Sun,No,Clear,0.4,0.4091,0.5,0.4179,8,36,44,Morning Peak
1630,2011-03-13,Spring,2011,Mar,10,No,Sun,No,Clear,0.42,0.4242,0.47,0.2537,36,86,122,Afternoon
1631,2011-03-13,Spring,2011,Mar,11,No,Sun,No,Clear,0.44,0.4394,0.41,0.4179,88,93,181,Afternoon
1632,2011-03-13,Spring,2011,Mar,12,No,Sun,No,Clear,0.46,0.4545,0.38,0.3881,74,120,194,Afternoon
1633,2011-03-13,Spring,2011,Mar,13,No,Sun,No,Clear,0.46,0.4545,0.38,0.3881,97,124,221,Afternoon
1634,2011-03-13,Spring,2011,Mar,14,No,Sun,No,Clear,0.46,0.4545,0.41,0.2985,144,106,250,Afternoon
1635,2011-03-13,Spring,2011,Mar,15,No,Sun,No,Clear,0.48,0.4697,0.39,0.3284,149,155,304,Afternoon
1636,2011-03-13,Spring,2011,Mar,16,No,Sun,No,Clear,0.46,0.4545,0.41,0.3881,124,132,256,Evening Peak
1637,2011-03-13,Spring,2011,Mar,17,No,Sun,No,Clear,0.44,0.4394,0.41,0.3582,98,143,241,Evening Peak
1638,2011-03-13,Spring,2011,Mar,18,No,Sun,No,Clear,0.4,0.4091,0.43,0.3582,55,92,147,Evening Peak
1639,2011-03-13,Spring,2011,Mar,19,No,Sun,No,Clear,0.36,0.3333,0.5,0.3582,28,73,101,Evening Peak
1640,2011-03-13,Spring,2011,Mar,20,No,Sun,No,Clear,0.32,0.303,0.57,0.2985,23,54,77,Off Hours
1641,2011-03-13,Spring,2011,Mar,21,No,Sun,No,Clear,0.3,0.2879,0.56,0.2537,9,49,58,Off Hours
1642,2011-03-13,Spring,2011,Mar,22,No,Sun,No,Clear,0.3,0.2727,0.56,0.3284,8,29,37,Off Hours
1643,2011-03-13,Spring,2011,Mar,23,No,Sun,No,Clear,0.26,0.2576,0.65,0.2239,5,23,28,Off Hours
1644,2011-03-14,Spring,2011,Mar,0,No,Mon,Yes,Clear,0.26,0.2727,0.65,0.1045,4,7,11,Off Hours
1645,2011-03-14,Spring,2011,Mar,1,No,Mon,Yes,Clear,0.26,0.2879,0.65,0.0896,0,1,1,Off Hours
1646,2011-03-14,Spring,2011,Mar,2,No,Mon,Yes,Clear,0.26,0.2879,0.65,0.0896,0,1,1,Off Hours
1647,2011-03-14,Spring,2011,Mar,3,No,Mon,Yes,Clear,0.26,0.2727,0.65,0.1343,0,3,3,Off Hours
1648,2011-03-14,Spring,2011,Mar,5,No,Mon,Yes,Clear,0.24,0.2424,0.7,0.1343,0,8,8,Off Hours
1649,2011-03-14,Spring,2011,Mar,6,No,Mon,Yes,Clear,0.26,0.2727,0.65,0.1343,1,27,28,Morning Peak
1650,2011-03-14,Spring,2011,Mar,7,No,Mon,Yes,Mist/Cloudy,0.28,0.3182,0.61,0.0,4,84,88,Morning Peak
1651,2011-03-14,Spring,2011,Mar,8,No,Mon,Yes,Mist/Cloudy,0.3,0.303,0.56,0.1343,24,217,241,Morning Peak
1652,2011-03-14,Spring,2011,Mar,9,No,Mon,Yes,Clear,0.32,0.303,0.53,0.3284,13,127,140,Morning Peak
1653,2011-03-14,Spring,2011,Mar,10,No,Mon,Yes,Clear,0.34,0.3182,0.42,0.2537,27,57,84,Afternoon
1654,2011-03-14,Spring,2011,Mar,11,No,Mon,Yes,Clear,0.36,0.3333,0.4,0.2537,26,45,71,Afternoon
1655,2011-03-14,Spring,2011,Mar,12,No,Mon,Yes,Clear,0.38,0.3939,0.37,0.0,40,54,94,Afternoon
1656,2011-03-14,Spring,2011,Mar,13,No,Mon,Yes,Clear,0.38,0.3939,0.36,0.3284,24,51,75,Afternoon
1657,2011-03-14,Spring,2011,Mar,14,No,Mon,Yes,Mist/Cloudy,0.38,0.3939,0.34,0.0,27,52,79,Afternoon
1658,2011-03-14,Spring,2011,Mar,15,No,Mon,Yes,Clear,0.38,0.3939,0.37,0.1642,24,77,101,Afternoon
1659,2011-03-14,Spring,2011,Mar,16,No,Mon,Yes,Clear,0.4,0.4091,0.35,0.1045,27,80,107,Evening Peak
1660,2011-03-14,Spring,2011,Mar,17,No,Mon,Yes,Clear,0.38,0.3939,0.4,0.194,42,229,271,Evening Peak
1661,2011-03-14,Spring,2011,Mar,18,No,Mon,Yes,Clear,0.36,0.3636,0.4,0.1045,25,210,235,Evening Peak
1662,2011-03-14,Spring,2011,Mar,19,No,Mon,Yes,Clear,0.36,0.3485,0.43,0.1343,17,133,150,Evening Peak
1663,2011-03-14,Spring,2011,Mar,20,No,Mon,Yes,Clear,0.34,0.3182,0.46,0.2239,23,106,129,Off Hours
1664,2011-03-14,Spring,2011,Mar,21,No,Mon,Yes,Clear,0.34,0.3333,0.46,0.1343,5,58,63,Off Hours
1665,2011-03-14,Spring,2011,Mar,22,No,Mon,Yes,Clear,0.32,0.3333,0.49,0.1045,4,43,47,Off Hours
1666,2011-03-14,Spring,2011,Mar,23,No,Mon,Yes,Clear,0.32,0.3485,0.53,0.0,2,17,19,Off Hours
1667,2011-03-15,Spring,2011,Mar,0,No,Tue,Yes,Clear,0.32,0.3485,0.53,0.0,7,7,14,Off Hours
1668,2011-03-15,Spring,2011,Mar,1,No,Tue,Yes,Clear,0.3,0.303,0.62,0.0896,4,6,10,Off Hours
1669,2011-03-15,Spring,2011,Mar,2,No,Tue,Yes,Clear,0.3,0.303,0.62,0.0896,1,2,3,Off Hours
1670,2011-03-15,Spring,2011,Mar,4,No,Tue,Yes,Clear,0.24,0.2576,0.75,0.0896,1,1,2,Off Hours
1671,2011-03-15,Spring,2011,Mar,5,No,Tue,Yes,Clear,0.24,0.2273,0.75,0.194,0,11,11,Off Hours
1672,2011-03-15,Spring,2011,Mar,6,No,Tue,Yes,Clear,0.22,0.2273,0.8,0.194,3,32,35,Morning Peak
1673,2011-03-15,Spring,2011,Mar,7,No,Tue,Yes,Clear,0.24,0.2424,0.75,0.1642,10,109,119,Morning Peak
1674,2011-03-15,Spring,2011,Mar,8,No,Tue,Yes,Clear,0.26,0.2879,0.7,0.0896,23,259,282,Morning Peak
1675,2011-03-15,Spring,2011,Mar,9,No,Tue,Yes,Mist/Cloudy,0.3,0.3333,0.7,0.0,10,147,157,Morning Peak
1676,2011-03-15,Spring,2011,Mar,10,No,Tue,Yes,Mist/Cloudy,0.32,0.3182,0.66,0.194,22,56,78,Afternoon
1677,2011-03-15,Spring,2011,Mar,11,No,Tue,Yes,Mist/Cloudy,0.34,0.3182,0.57,0.2239,27,51,78,Afternoon
1678,2011-03-15,Spring,2011,Mar,12,No,Tue,Yes,Mist/Cloudy,0.36,0.3485,0.5,0.2239,32,70,102,Afternoon
1679,2011-03-15,Spring,2011,Mar,13,No,Tue,Yes,Mist/Cloudy,0.36,0.3333,0.57,0.2836,23,74,97,Afternoon
1680,2011-03-15,Spring,2011,Mar,14,No,Tue,Yes,Mist/Cloudy,0.38,0.3939,0.46,0.2985,14,74,88,Afternoon
1681,2011-03-15,Spring,2011,Mar,15,No,Tue,Yes,Mist/Cloudy,0.38,0.3939,0.43,0.2836,24,66,90,Afternoon
1682,2011-03-15,Spring,2011,Mar,16,No,Tue,Yes,Mist/Cloudy,0.38,0.3939,0.46,0.3284,21,93,114,Evening Peak
1683,2011-03-15,Spring,2011,Mar,17,No,Tue,Yes,Mist/Cloudy,0.36,0.3485,0.62,0.194,22,195,217,Evening Peak
1684,2011-03-15,Spring,2011,Mar,18,No,Tue,Yes,Mist/Cloudy,0.36,0.3333,0.62,0.2985,18,207,225,Evening Peak
1685,2011-03-15,Spring,2011,Mar,19,No,Tue,Yes,Mist/Cloudy,0.34,0.3182,0.71,0.2836,14,138,152,Evening Peak
1686,2011-03-15,Spring,2011,Mar,20,No,Tue,Yes,Mist/Cloudy,0.34,0.3182,0.71,0.2836,9,79,88,Off Hours
1687,2011-03-15,Spring,2011,Mar,21,No,Tue,Yes,Light Rain/Snow,0.32,0.3333,0.81,0.1045,2,53,55,Off Hours
1688,2011-03-15,Spring,2011,Mar,22,No,Tue,Yes,Mist/Cloudy,0.32,0.3182,0.87,0.1642,1,20,21,Off Hours
1689,2011-03-15,Spring,2011,Mar,23,No,Tue,Yes,Mist/Cloudy,0.32,0.3182,0.87,0.1642,1,17,18,Off Hours
1690,2011-03-16,Spring,2011,Mar,0,No,Wed,Yes,Light Rain/Snow,0.3,0.2879,0.93,0.2537,0,8,8,Off Hours
1691,2011-03-16,Spring,2011,Mar,1,No,Wed,Yes,Light Rain/Snow,0.3,0.2727,1.0,0.2985,1,2,3,Off Hours
1692,2011-03-16,Spring,2011,Mar,3,No,Wed,Yes,Mist/Cloudy,0.28,0.2727,1.0,0.2239,1,2,3,Off Hours
1693,2011-03-16,Spring,2011,Mar,4,No,Wed,Yes,Mist/Cloudy,0.3,0.303,0.93,0.1642,0,1,1,Off Hours
1694,2011-03-16,Spring,2011,Mar,5,No,Wed,Yes,Mist/Cloudy,0.3,0.3182,0.93,0.1045,0,3,3,Off Hours
1695,2011-03-16,Spring,2011,Mar,6,No,Wed,Yes,Mist/Cloudy,0.3,0.3182,0.93,0.1045,1,30,31,Morning Peak
1696,2011-03-16,Spring,2011,Mar,7,No,Wed,Yes,Mist/Cloudy,0.3,0.2879,0.93,0.194,10,101,111,Morning Peak
1697,2011-03-16,Spring,2011,Mar,8,No,Wed,Yes,Mist/Cloudy,0.32,0.3182,0.93,0.0,26,227,253,Morning Peak
1698,2011-03-16,Spring,2011,Mar,9,No,Wed,Yes,Mist/Cloudy,0.32,0.3333,0.93,0.1343,10,144,154,Morning Peak
1699,2011-03-16,Spring,2011,Mar,10,No,Wed,Yes,Mist/Cloudy,0.36,0.3485,0.81,0.1642,19,49,68,Afternoon
1700,2011-03-16,Spring,2011,Mar,11,No,Wed,Yes,Mist/Cloudy,0.36,0.3485,0.81,0.1343,13,62,75,Afternoon
1701,2011-03-16,Spring,2011,Mar,12,No,Wed,Yes,Mist/Cloudy,0.4,0.4091,0.71,0.1045,23,65,88,Afternoon
1702,2011-03-16,Spring,2011,Mar,13,No,Wed,Yes,Mist/Cloudy,0.4,0.4091,0.76,0.1343,18,81,99,Afternoon
1703,2011-03-16,Spring,2011,Mar,14,No,Wed,Yes,Mist/Cloudy,0.4,0.4091,0.76,0.2239,33,67,100,Afternoon
1704,2011-03-16,Spring,2011,Mar,15,No,Wed,Yes,Mist/Cloudy,0.4,0.4091,0.76,0.2537,22,79,101,Afternoon
1705,2011-03-16,Spring,2011,Mar,16,No,Wed,Yes,Mist/Cloudy,0.4,0.4091,0.76,0.1642,30,121,151,Evening Peak
1706,2011-03-16,Spring,2011,Mar,17,No,Wed,Yes,Mist/Cloudy,0.44,0.4394,0.54,0.2985,37,216,253,Evening Peak
1707,2011-03-16,Spring,2011,Mar,18,No,Wed,Yes,Mist/Cloudy,0.44,0.4394,0.54,0.2239,26,211,237,Evening Peak
1708,2011-03-16,Spring,2011,Mar,19,No,Wed,Yes,Mist/Cloudy,0.44,0.4394,0.51,0.3284,18,150,168,Evening Peak
1709,2011-03-16,Spring,2011,Mar,20,No,Wed,Yes,Mist/Cloudy,0.42,0.4242,0.54,0.2985,10,111,121,Off Hours
1710,2011-03-16,Spring,2011,Mar,21,No,Wed,Yes,Mist/Cloudy,0.42,0.4242,0.58,0.2836,3,75,78,Off Hours
1711,2011-03-16,Spring,2011,Mar,22,No,Wed,Yes,Mist/Cloudy,0.4,0.4091,0.62,0.3881,11,48,59,Off Hours
1712,2011-03-16,Spring,2011,Mar,23,No,Wed,Yes,Clear,0.4,0.4091,0.65,0.194,9,18,27,Off Hours
1713,2011-03-17,Spring,2011,Mar,0,No,Thu,Yes,Clear,0.38,0.3939,0.66,0.2537,4,19,23,Off Hours
1714,2011-03-17,Spring,2011,Mar,1,No,Thu,Yes,Clear,0.36,0.3485,0.71,0.2239,1,11,12,Off Hours
1715,2011-03-17,Spring,2011,Mar,2,No,Thu,Yes,Clear,0.34,0.303,0.71,0.2985,3,5,8,Off Hours
1716,2011-03-17,Spring,2011,Mar,3,No,Thu,Yes,Clear,0.34,0.3333,0.66,0.1642,1,1,2,Off Hours
1717,2011-03-17,Spring,2011,Mar,4,No,Thu,Yes,Clear,0.34,0.3333,0.71,0.194,0,3,3,Off Hours
1718,2011-03-17,Spring,2011,Mar,5,No,Thu,Yes,Clear,0.32,0.3333,0.76,0.1045,0,13,13,Off Hours
1719,2011-03-17,Spring,2011,Mar,6,No,Thu,Yes,Clear,0.32,0.3182,0.76,0.194,4,47,51,Morning Peak
1720,2011-03-17,Spring,2011,Mar,7,No,Thu,Yes,Clear,0.32,0.3333,0.76,0.1343,12,128,140,Morning Peak
1721,2011-03-17,Spring,2011,Mar,8,No,Thu,Yes,Clear,0.36,0.3485,0.66,0.1343,17,282,299,Morning Peak
1722,2011-03-17,Spring,2011,Mar,9,No,Thu,Yes,Clear,0.4,0.4091,0.62,0.2537,23,162,185,Morning Peak
1723,2011-03-17,Spring,2011,Mar,10,No,Thu,Yes,Clear,0.44,0.4394,0.54,0.3284,9,69,78,Afternoon
1724,2011-03-17,Spring,2011,Mar,11,No,Thu,Yes,Clear,0.44,0.4394,0.54,0.2836,20,66,86,Afternoon
1725,2011-03-17,Spring,2011,Mar,12,No,Thu,Yes,Clear,0.5,0.4848,0.45,0.2239,24,81,105,Afternoon
1726,2011-03-17,Spring,2011,Mar,13,No,Thu,Yes,Mist/Cloudy,0.52,0.5,0.42,0.0896,26,85,111,Afternoon
1727,2011-03-17,Spring,2011,Mar,14,No,Thu,Yes,Clear,0.5,0.4848,0.45,0.1045,32,87,119,Afternoon
1728,2011-03-17,Spring,2011,Mar,15,No,Thu,Yes,Clear,0.52,0.5,0.42,0.2537,30,95,125,Afternoon
1729,2011-03-17,Spring,2011,Mar,16,No,Thu,Yes,Clear,0.5,0.4848,0.48,0.2836,34,108,142,Evening Peak
1730,2011-03-17,Spring,2011,Mar,17,No,Thu,Yes,Clear,0.5,0.4848,0.42,0.194,48,265,313,Evening Peak
1731,2011-03-17,Spring,2011,Mar,18,No,Thu,Yes,Mist/Cloudy,0.46,0.4545,0.59,0.1642,50,260,310,Evening Peak
1732,2011-03-17,Spring,2011,Mar,19,No,Thu,Yes,Clear,0.44,0.4394,0.58,0.194,18,189,207,Evening Peak
1733,2011-03-17,Spring,2011,Mar,20,No,Thu,Yes,Clear,0.42,0.4242,0.67,0.2239,25,112,137,Off Hours
1734,2011-03-17,Spring,2011,Mar,21,No,Thu,Yes,Clear,0.42,0.4242,0.62,0.2239,19,119,138,Off Hours
1735,2011-03-17,Spring,2011,Mar,22,No,Thu,Yes,Clear,0.4,0.4091,0.66,0.2239,17,70,87,Off Hours
1736,2011-03-17,Spring,2011,Mar,23,No,Thu,Yes,Clear,0.42,0.4242,0.62,0.2836,7,43,50,Off Hours
1737,2011-03-18,Spring,2011,Mar,0,No,Fri,Yes,Clear,0.42,0.4242,0.58,0.2836,5,24,29,Off Hours
1738,2011-03-18,Spring,2011,Mar,1,No,Fri,Yes,Clear,0.4,0.4091,0.62,0.2537,4,12,16,Off Hours
1739,2011-03-18,Spring,2011,Mar,2,No,Fri,Yes,Clear,0.4,0.4091,0.62,0.194,5,9,14,Off Hours
1740,2011-03-18,Spring,2011,Mar,3,No,Fri,Yes,Clear,0.36,0.3485,0.71,0.194,1,4,5,Off Hours
1741,2011-03-18,Spring,2011,Mar,5,No,Fri,Yes,Clear,0.38,0.3939,0.66,0.1642,2,8,10,Off Hours
1742,2011-03-18,Spring,2011,Mar,6,No,Fri,Yes,Clear,0.4,0.4091,0.66,0.194,1,35,36,Morning Peak
1743,2011-03-18,Spring,2011,Mar,7,No,Fri,Yes,Clear,0.4,0.4091,0.66,0.194,11,112,123,Morning Peak
1744,2011-03-18,Spring,2011,Mar,8,No,Fri,Yes,Clear,0.42,0.4242,0.67,0.2537,24,256,280,Morning Peak
1745,2011-03-18,Spring,2011,Mar,9,No,Fri,Yes,Clear,0.46,0.4545,0.63,0.2239,18,192,210,Morning Peak
1746,2011-03-18,Spring,2011,Mar,10,No,Fri,Yes,Clear,0.52,0.5,0.53,0.2836,43,74,117,Afternoon
1747,2011-03-18,Spring,2011,Mar,11,No,Fri,Yes,Clear,0.54,0.5152,0.52,0.2836,55,104,159,Afternoon
1748,2011-03-18,Spring,2011,Mar,12,No,Fri,Yes,Mist/Cloudy,0.56,0.5303,0.49,0.3582,72,123,195,Afternoon
1749,2011-03-18,Spring,2011,Mar,13,No,Fri,Yes,Clear,0.64,0.6212,0.41,0.2836,57,118,175,Afternoon
1750,2011-03-18,Spring,2011,Mar,14,No,Fri,Yes,Clear,0.66,0.6212,0.39,0.2537,71,103,174,Afternoon
1751,2011-03-18,Spring,2011,Mar,15,No,Fri,Yes,Mist/Cloudy,0.68,0.6364,0.39,0.3582,62,111,173,Afternoon
1752,2011-03-18,Spring,2011,Mar,16,No,Fri,Yes,Clear,0.68,0.6364,0.39,0.2836,67,137,204,Evening Peak
1753,2011-03-18,Spring,2011,Mar,17,No,Fri,Yes,Clear,0.7,0.6364,0.37,0.3284,95,237,332,Evening Peak
1754,2011-03-18,Spring,2011,Mar,18,No,Fri,Yes,Clear,0.68,0.6364,0.39,0.1642,84,247,331,Evening Peak
